word,similarity
abortion,0.79784095287323
administration,0.4589446783065796
border,0.5736459493637085
conservative,0.680039644241333
corrupt,0.6305824518203735
climatechange,0.72701495885849
democrat,0.38283342123031616
daca,0.46066585183143616
economy,0.5887125730514526
gun,0.5191493630409241
healthcare,0.6174075603485107
impeach,0.5312891602516174
immigration,0.6317572593688965
insurance,0.8005008697509766
liberal,0.28187644481658936
mcconnell,0.44384610652923584
oil,0.6305265426635742
president,0.5215068459510803
pelosi,0.3930000364780426
police,0.8206888437271118
republican,0.4618866443634033
russia,0.7556949853897095
scotus,0.609682559967041
tax,0.7273809313774109
trump,0.3812847137451172
usmca,0.6973779201507568
wall,0.7245534658432007
wealth,0.7480026483535767
welfare,0.7346893548965454
whitehouse,0.5144885778427124
