screen_name,user_id,location,description,url,gender,party,state,district
RepStephMurphy,796183515998068736,"Winter Park, FL",Fighting for progress and proudly representing Seminole & Orange Counties in the U.S. House of Representatives. #FL07,https://t.co/7stdgh39et,F,D,FL,7.0
RepMarshall,752364246218862592,"Great Bend, KS","Physician, Grandpa, Congressman representing Kansas' Big 1st District",https://t.co/gU0Halbo1e,M,R,KS,1.0
WarrenDavidson,742735530287304704,"Washington, DC",U.S. Congressman serving Ohio's 8th District. Constitutionalist and former Army Ranger. It's not compassionate to bankrupt America!,https://t.co/EbtGc7u36x,M,R,OH,8.0
CongBoyle,4304448314,,"Official Leg. account of Rep. Brendan Boyle. Co-Chair @BlueCollarDems, Proud Father, Loyal Philly sports fan and Fighter for the PA-02 Congressional District",https://t.co/jKJoNseYtJ,M,D,PA,2.0
GReschenthaler,4205133682,,Representing the people of PA-14 in the U.S. House of Representatives.,https://t.co/BBptULmIUQ,M,R,PA,14.0
RepLaHood,3686482216,IL-18 Congressional District,Proudly representing the 18th Congressional District of Illinois. Member of @WaysandMeansGOP.,https://t.co/4Vsi29h4ty,M,R,IL,18.0
RepTrentKelly,3317799825,,"Proudly serving Mississippi's First Congressional District in the U.S. House of Representatives. 
Rt's & likes ≠ Endorsements",http://t.co/qE8a4JH0Dl,M,R,MS,1.0
DonaldNorcross,3122099613,,"Congressman, NJ-01 • Electrician • Born & Raised in South Jersey • Husband, Dad, Granddad • @EdLaborCmte Member • @HASCDemocrats TAL Chair",https://t.co/yD13GE8LK4,M,D,NJ,1.0
RepTedLieu,3044993235,"Los Angeles, CA & Washington, DC","Official Twitter account for the Office of Rep @TedLieu, serving #CA33 in the U.S. House of Representatives • https://t.co/cSZYg2t9ap • https://t.co/oA7bA0mWrM",https://t.co/gVv4Qfdiiu,M,D,CA,33.0
RepAmata,3026622545,"Washington, D.C.","Congresswoman proudly representing American Samoa. Serving on the @NatResources, @HouseVetAffairs, and @HouseSmallBiz",https://t.co/L7B6x0yzTS,F,R,AS,0.0
RepPeteAguilar,3018670151,"San Bernardino, CA","Pete Aguilar represents CA’s 31st Congressional District. A former mayor, Rep. Aguilar is committed to strengthening the Inland Empire’s middle class.",http://t.co/o4deRoUnuK,M,D,CA,31.0
RepGrothman,2976606250,"Washington, D.C.","Official account of Congressman Glenn Grothman, proudly representing Wisconsin's Sixth District.",http://t.co/MY3WTtaAeb,M,R,WI,6.0
CongressmanHice,2975091705,"Greensboro, GA; Washington, DC","I'm honored to serve Georgia's 10th Congressional District. Communications Chair, @freedomcaucus.",https://t.co/apR1dqYCIk,M,R,GA,10.0
RepBuddyCarter,2973870195,,Proudly serving Georgia's 1st Congressional District,https://t.co/zGq0mX8dEy,M,R,GA,1.0
RepKathleenRice,2970462034,"Long Island, NY",U.S. Representative for #NY04 (Long Island). Former Nassau County DA.,http://t.co/XBMpgvbVZ1,F,D,NY,4.0
RepDebDingell,2970279814,"Washington, DC","Proudly serving the people of Michigan's 12th Congressional District.
http://t.co/e7qwdRk0zg
http://t.co/q9q7Jj0s26",http://t.co/tsIQhHRnwP,F,D,MI,12.0
RepBonnie,2968451607,"New Jersey, USA",Proudly serving the people of New Jersey’s 12th Congressional District. Proud #BlackWoman. Progressive Dem. Member of the #Resistance. Co-Chair of @CBWGCaucus.,https://t.co/nnqUnDnLfU,F,D,NJ,12.0
RepDeSaulnier,2968007206,"Concord, CA","Representing CA-11. Member of @transportdems @EdLaborCmte @oversightdems @RulesDemocrats. Dad, amateur historian, marathon runner & former small business owner.",https://t.co/pa3PJQ8V5B,M,D,CA,11.0
RepJohnKatko,2966765501,"Syracuse, New York",Official Twitter account of Rep. John Katko. Proudly representing New York's 24th Congressional District.,https://t.co/GLTSxMTZwp,M,R,NY,24.0
RepRubenGallego,2966570782,"Phoenix, AZ",Proud representative of Arizona's 7th Congressional District. #AZ07,http://t.co/isis6YaDPG,M,D,AZ,7.0
