tweet_id,text,created,retweet,user_id
1200788068393005056,"Florida-15 is open for business! #SmallBusinessSaturday is an opportunity for each of us to #ShopLocal and support our neighbors in their entrepreneurial efforts. 

We are blessed with so many small businesses to support in #FL15, not just today, but every day! #Florida https://t.co/QKA1MPAzON",2019-11-30 14:45:59,False,1090328229548826627
1200784045354827776,"How we confront the climate crisis will be judged not by our colleagues or even our voters, but by our grandchildren. We owe them a climate that is as stable as the one we inherited from those who came before us. #ClimateActionNow https://t.co/wCTF4cvDmu",2019-11-30 14:30:00,False,1083472286089396224
1200520450268381184,"No one deserves to go hungry around the holidays. That’s why this week, I volunteered and brought food to our local @ILfoodbank. I hope that all #IL06 residents will do what they can to help out our friends and neighbors this holiday season. https://t.co/fcE410fdrp",2019-11-29 21:02:34,False,1083472286089396224
1200792854563631104,"Small businesses create 2 out of 3 new jobs &amp; veterans own nearly 10% of all businesses in the U.S. Whether you live in a major city, small town or #rural area, #shopsmall &amp; support your community today on Small Business Saturday! Find a business near you. https://t.co/OTvWHC02Of",2019-11-30 15:05:00,False,1083469084648505344
1200792852415959040,"Join me in celebrating #SmallBusinessSaturday! In Oklahoma, entrepreneurs and small businesses are a critical engine of growth and development. I'm proud to have introduced the bipartisan Access Business Credit Act to encourage community banks to lend to small businesses in OK.",2019-11-30 15:05:00,False,1083019402046513152
1200792931801665537,"Happy #SmallBusinessSaturday!

Join me and @SBAgov in support of our community by shopping small and local! https://t.co/GKQqadzY54",2019-11-30 15:05:19,False,1082416697380913152
1200517397817503744,"This holiday season, all of us can take steps to stay informed about cybersecurity and be safe online. https://t.co/tcFE0LzGiA",2019-11-29 20:50:26,False,1082311988926124036
1200761835521228801,"On the busiest shopping weekend of the year, remember to shop small and shop local.  #SmallBusinessSaturday https://t.co/Ur2RZWjBjo",2019-11-30 13:01:45,False,1082086081238102018
1200746594179715072,"Happy birthday to #ShirleyChisholm, who led the way for so many women of color serving in politics today. If they don’t give you a seat at the table, bring a folding chair. #Trailblazer https://t.co/M0kPdfyL5K",2019-11-30 12:01:11,False,1082086081238102018
1200791595697631232,"As a small business owner, I understand the opportunities and challenges of owning a business. This #SmallBusinessSaturday, I want to thank every small business owner in WV for your hard work. We are grateful for the crucial part you play in what makes our state so special.",2019-11-30 15:00:00,False,1081318716573470720
1200565102103138304,"I'm proud of the work @HouseDemocrats and I have done. We have kept our promise to pass bills to lower healthcare costs, raise wages, protect our environment and rebuild our nation's infrastructure. Now it's time for Senate Republicans to act #ForThePeople https://t.co/n1X6Ewd2XM",2019-11-30 00:00:00,False,1080986167003230208
